ztop,Temperature,AgeAICC
418,-1.93,14629.4
418.55,-2.16,14652.6
419.1,-2.69,14675.9
419.65,-2.5,14700.8
420.2,-2.96,14725.7
420.75,-2.52,14750.7
421.3,-5.32,14778.4
421.85,-3.78,14806.2
422.4,-2.71,14834
422.95,-4.17,14862
423.5,-4.17,14890
424.05,-3.55,14918.1
424.6,-4.59,14947.2
425.15,-4.2,14976.3
425.7,-5.42,15005.4
426.25,-4.94,15036.5
426.8,-4.22,15067.6
427.35,-5.03,15098.7
427.9,-4.44,15128.4
428.45,-3.62,15158.1
429,-4.04,15187.7
429.55,-4.29,15216.4
430.1,-3.62,15245
430.65,-4.02,15273.7
431.2,-4.25,15303.8
431.75,-5.52,15334
432.3,-2.3,15364.2
432.85,-4.54,15393
433.4,-5.1,15421.9
433.95,-5.09,15450.8
434.5,-4.05,15481
435.05,-4.17,15511.2
435.6,-4.5,15541.4
436.15,-4.36,15571.8
436.7,-4.76,15602.2
437.25,-5.16,15632.6
437.8,-5.72,15665.6
438.35,-5.47,15698.5
438.9,-5.66,15731.5
439.45,-5.51,15765.1
440,-5.74,15798.7
440.55,-5.7,15832.3
441.1,-4.75,15864.6
441.65,-5.11,15897
442.2,-5.35,15929.4
442.75,-6.01,15962.6
443.3,-5.19,15995.8
443.85,-6.37,16029.1
444.4,-4.8,16062.2
444.95,-5.39,16095.4
445.5,-5.25,16128.6
446.05,-5.61,16161.5
446.6,-5.32,16194.3
447.15,-5.62,16227.1
447.7,-5.82,16261.3
448.25,-6.18,16295.5
448.8,-5.39,16329.8
449.35,-6.66,16364.4
449.9,-5.91,16399.1
450.45,-5.96,16433.8
451,-6.46,16469.8
451.55,-6.9,16505.8
452.1,-6.76,16541.9
452.65,-5.94,16577.4
453.2,-6.1,16612.9
453.75,-6.07,16648.4
454.3,-6.22,16684.5
454.85,-7.41,16720.6
455.4,-6.44,16756.7
455.95,-6.12,16793.1
456.5,-6.76,16829.5
457.05,-6.79,16865.8
457.6,-6.75,16903.3
458.15,-6.86,16940.8
458.7,-8.15,16978.3
459.25,-7.05,17017.7
459.8,-7.44,17057.2
460.35,-7.15,17096.7
460.9,-6.82,17136.3
461.45,-8.83,17175.8
462,-7.37,17215.4
462.55,-8.21,17257
463.1,-8.11,17298.7
463.65,-8.23,17340.3
464.2,-9,17382.9
464.75,-7.74,17425.5
465.3,-7.8,17468.1
465.85,-8.38,17508.8
466.4,-7.38,17549.4
466.95,-8.66,17590.1
467.5,-7.4,17632.5
468.05,-9.37,17674.9
468.6,-8.5,17717.3
469.15,-8.4,17760.8
469.7,-9.11,17804.2
470.25,-8.39,17847.6
470.8,-9.08,17892.4
471.35,-9.54,17937.1
471.9,-9.47,17981.9
472.45,-9.47,18028.4
473,-9.7,18075
473.55,-8.13,18121.6
474.1,-8.97,18165.2
474.65,-9.74,18208.8
475.2,-8.9,18252.4
475.75,-8.87,18296.9
476.3,-9.54,18341.4
476.85,-9.82,18385.8
477.4,-9.64,18431.5
477.95,-9.21,18477.1
478.5,-9.25,18522.7
479.05,-8.94,18566.3
479.6,-9.18,18610
480.15,-9.45,18653.6
480.7,-9.41,18698.1
481.25,-9.36,18742.6
481.8,-9.51,18787.1
482.35,-9.4,18832.8
482.9,-10.35,18878.6
483.45,-8.67,18924.3
484,-9.26,18966.7
484.55,-8.56,19009
485.1,-9.92,19051.3
485.65,-9.21,19095.6
486.2,-9.61,19140
486.75,-9.36,19184.3
487.3,-9.02,19227.8
487.85,-9.69,19271.3
488.4,-8.84,19314.8
488.95,-10.12,19358.8
489.5,-9.34,19402.7
490.05,-8.44,19446.6
490.6,-10.43,19491
491.15,-9.89,19535.3
491.7,-8.52,19579.6
492.25,-9.54,19622.2
492.8,-9.34,19664.8
493.35,-7.81,19707.4
