y,x,z
2.526979426,-5.605,38.48905
2.567853571,-5.315,38.56735
2.567853571,-5.305,38.64405
2.548485631,-5.46,38.7215
2.548485631,-5.6,38.7997
2.53577898,-5.53,38.8784
2.53451715,-5.515,38.95765
2.514541455,-5.67,39.03775
2.515778313,-5.745,39.1186
2.47693848,-5.995,39.201
2.47693848,-6.31,39.285
2.417995945,-6.55,39.37155
2.419118909,-6.865,39.4606
2.359155444,-7.125,39.55235
2.359155444,-7.46,39.64685
2.318714475,-7.5,39.7433
2.317698731,-6.985,39.84175
2.370863934,-6.82,39.9377
2.370863934,-6.81,40.0311
2.409057338,-6.335,40.12275
2.407945609,-6.17,40.2127
2.393604491,-6.47,40.30335
2.393604491,-6.69,40.39465
2.360214206,-6.83,40.4875
2.360214206,-6.9,40.5819
2.348629031,-6.935,40.67685
2.349676701,-7.085,40.7723
2.34028696,-7,40.86815
2.341325921,-6.385,40.9644
2.409057338,-6.175,41.05745
2.407945609,-6.63,41.1474
2.357041279,-6.74,41.23975
2.35598587,-6.525,41.3345
2.383795148,-6.375,41.428
2.382711137,-6.365,41.52025
2.364460497,-6.545,41.6134
2.363397232,-6.73,41.70745
2.332013904,-6.88,41.80305
2.330984568,-7.025,41.9002
2.306593114,-7.135,41.9986
2.306593114,-7.18,42.0982
2.31364604,-7.06,42.19745
2.31364604,-6.835,42.29635
2.346536981,-6.71,42.39365
2.347582459,-6.665,42.4893
2.360214206,-6.62,42.5843
2.360214206,-6.58,42.6787
2.38705425,-6.385,42.77185
2.38705425,-6.07,42.86375
2.432693778,-5.93,42.9536
2.43383338,-6.045,43.04135
2.417995945,-6.2,43.12975
2.417995945,-6.24,43.21885
2.42249539,-6.185,43.30775
2.42249539,-6.13,43.39645
2.439550948,-6.02,43.4844
2.438404816,-5.695,43.57165
2.45457145,-5.86,43.65825
2.453407983,-6.6,43.7442
2.361274089,-6.935,43.83435
2.361274089,-7.06,43.92865
2.345492594,-7.14,44.0237
2.344449297,-6.69,44.11955
2.41128451,-6.41,44.21235
2.412399959,-6.71,44.302
2.383795148,-6.81,44.3929
2.384880336,-6.635,44.48505
2.41128451,-6.615,44.57595
2.41128451,-6.565,44.66565
2.468639677,-6.1,44.75285
2.467459736,-5.74,44.8376
2.482908647,-6.055,44.92175
2.482908647,-6.48,45.00525
2.478129666,-6.24,45.08895
2.478129666,-5.54,45.17285
2.583622623,-5.15,45.25255
2.582298996,-5.065,45.3281
2.602339747,-5.055,45.40295
2.600991129,-5.285,45.4771
2.605042451,-5.14,45.55115
2.603690186,-4.665,45.6251
2.642262461,-4.805,45.6977
2.640858952,-4.945,45.76895
2.653562016,-4.745,45.8398
2.652142569,-4.975,45.91025
2.596956154,-5.48,45.98275
2.596956154,-5.34,46.05725
2.657832485,-4.82,46.12955
2.659260037,-4.975,46.1996
2.606396547,-5.5,46.2715
2.606396547,-5.55,46.3453
2.617295838,-5.445,46.4187
2.61866664,-5.46,46.49165
2.614559858,-5.56,46.5647
2.614559858,-5.91,46.6379
2.579656986,-6.04,46.7124
2.580977119,-5.915,46.78815
2.598299337,-5.905,46.8632
2.599644327,-5.865,46.93755
2.62554898,-5.665,47.0109
2.62693115,-5.515,47.08325
2.624168717,-5.77,47.15565
2.62554898,-6.245,47.2281
2.615926912,-5.935,47.30085
2.617295838,-5.445,47.3739
2.611831343,-6.075,47.4471
2.611831343,-6.64,47.5205
2.578338595,-6.54,47.59515
2.577021939,-6.71,47.6711
2.553613848,-6.91,47.748
2.552329326,-6.8,47.82585
2.562651998,-6.855,47.90335
2.563949857,-7.13,47.9804
2.548485631,-7.105,48.058
2.549765222,-6.955,48.13615
2.542112124,-7.24,48.21455
2.54338358,-7.32,48.2932
2.600991129,-6.64,48.3696
2.599644327,-6.35,48.44385
2.575707014,-6.995,48.51905
2.574393816,-7.24,48.5952
2.590267165,-6.86,48.6708
2.591601388,-6.7,48.74575
2.60775248,-6.705,48.82005
2.60775248,-7.045,48.89375
2.519498095,-7.78,48.97085
2.519498095,-8.035,49.05135
2.521985658,-7.775,49.13175
2.523231764,-7.79,49.212
2.53577898,-7.66,49.2917
2.53577898,-6.965,49.3709
2.61866664,-6.74,49.44695
2.617295838,-6.97,49.5199
2.595614772,-7.015,49.5937
2.594275187,-7.205,49.66835
2.563949857,-7.385,49.7442
2.563949857,-7.425,49.8212
2.554900022,-7.49,49.89855
2.554900022,-7.33,49.97625
2.600991129,-6.965,50.0522
2.600991129,-6.84,50.1264
2.603690186,-6.905,50.2005
2.605042451,-6.695,50.27445
2.63108916,-6.595,50.3474
2.63108916,-6.815,50.4194
2.611831343,-6.795,50.4921
2.61319467,-6.48,50.56545
2.670754416,-6.105,50.6367
2.672200548,-6.045,50.70585
2.642262461,-6.45,50.776
2.642262461,-6.64,50.8472
2.624168717,-6.665,50.91905
2.622790357,-6.885,50.9916
2.622790357,-6.675,51.0642
2.622790357,-6.32,51.1368
2.638057829,-6.51,51.20885
2.636660205,-6.795,51.2804
2.624168717,-6.655,51.35245
2.624168717,-6.555,51.42495
2.632479014,-6.57,51.49715
2.63108916,-6.255,51.5691
2.67800608,-6.035,51.63945
2.676551534,-5.925,51.7082
2.695627681,-5.815,51.77635
2.695627681,-6.045,51.84385
2.653562016,-6.31,51.9128
2.653562016,-6.42,51.9832
2.642262461,-6.435,52.054
2.642262461,-6.315,52.1252
2.67800608,-6,52.19515
2.679462744,-5.765,52.2638
2.694147296,-5.83,52.3319
2.692669099,-5.7,52.39955
2.721135441,-5.51,52.4663
2.719616837,-5.7,52.53215
2.685310714,-5.93,52.5992
2.683845512,-6.02,52.66745
2.683845512,-5.925,52.73575
2.683845512,-5.54,52.80405
2.725705136,-5.44,52.87095
2.727233021,-5.59,52.9364
2.728763243,-5.39,53.00175
2.73029581,-5.105,53.067
2.742641646,-5.24,53.1318
2.741090055,-5.575,53.19625
2.718100537,-5.535,53.2615
2.716586532,-5.455,53.32755
2.716586532,-5.54,53.39365
2.718100537,-5.595,53.4597
2.710553331,-5.61,53.52595
2.710553331,-5.38,53.59245
2.724179583,-5.455,53.6585
2.725705136,-5.895,53.72405
2.67800608,-5.98,53.79115
2.679462744,-5.815,53.8598
2.736449676,-5.325,53.9265
2.734907655,-4.34,53.99135
2.845589615,-4.055,54.05285
2.845589615,-4.86,54.11095
2.722656353,-5.49,54.17285
2.722656353,-5.905,54.23855
2.643667942,-6.405,54.30695
2.645075402,-6.515,54.378
2.685310714,-5.95,54.4476
2.685310714,-5.53,54.5158
2.697110261,-5.805,54.5836
2.698595042,-5.79,54.65095
2.719616837,-5.56,54.71755
2.719616837,-5.685,54.78345
2.697110261,-5.825,54.8501
2.697110261,-5.695,54.9175
2.744195648,-5.29,54.98335
2.744195648,-5.315,55.04765
2.694147296,-5.865,55.1136
2.694147296,-6.18,55.1812
2.642262461,-6.47,55.2506
2.642262461,-6.43,55.3218
2.672200548,-6.125,55.39195
2.670754416,-6.515,55.4611
2.590267165,-7.055,55.5332
2.591601388,-7.125,55.60815
2.620039324,-6.715,55.682
2.61866664,-6.005,55.75485
2.715074816,-5.6,55.8244
2.715074816,-5.8,55.8906
2.647896278,-6.35,55.9591
