y,x,z
2.942622448,-4.455,14.2407
2.942622448,-3.86,14.2697
3.05182174,-3.155,14.2972
3.05182174,-2.73,14.3232
3.05182174,-2.94,14.3492
2.988485865,-3.61,14.37605
2.984882258,-4.015,14.4038
2.988485865,-4.265,14.43155
3.014081412,-3.875,14.4589
3.014081412,-2.99,14.4859
3.014081412,-2.855,14.5129
3.032773545,-3.215,14.53965
3.029007062,-3.785,14.5662
3.029007062,-2.58,14.5928
3.161464918,-1.475,14.61775
3.165766,-2.045,14.641
3.161464918,-2.425,14.66425
3.095050475,-2.595,14.68835
3.095050475,-2.73,14.71325
3.091042453,-2.74,14.7382
2.988485865,-3.92,14.76455
2.984882258,-4.55,14.7923
2.984882258,-3.245,14.8201
2.977713768,-3.44,14.848
2.977713768,-4.17,14.876
2.974148702,-3.86,14.90405
2.939180104,-4.07,14.93265
2.939180104,-4.395,14.96175
2.939180104,-4.81,14.99085
2.872710459,-5.18,15.02095
2.872710459,-4.58,15.05205
2.872710459,-4.625,15.08315
2.918771232,-4.735,15.11355
2.918771232,-4.03,15.14325
2.922143917,-3.83,15.1729
2.953021155,-4.165,15.20205
2.95651156,-3.955,15.2307
2.953021155,-3.82,15.25935
2.905393106,-4.135,15.28875
2.902076354,-4.885,15.3189
2.902076354,-3.91,15.3491
2.949542891,-3.42,15.3786
2.946076683,-4.82,15.40745
2.946076683,-5.095,15.43635
2.902076354,-4.57,15.4659
2.902076354,-4.11,15.4961
2.902076354,-4.335,15.5263
2.89547567,-4.43,15.5566
2.89547567,-4.56,15.587
2.89547567,-4.96,15.6174
2.813410717,-5.44,15.6491
2.81644562,-5.595,15.68205
2.813410717,-5.565,15.715
2.795392211,-5.585,15.7483
2.795392211,-5.625,15.7819
2.795392211,-5.72,15.8155
2.834851048,-5.225,15.84845
2.831759855,-4.93,15.8808
2.831759855,-5.23,15.9132
2.807368402,-5.68,15.946
2.807368402,-5.6,15.9792
2.804360881,-5.78,16.01245
2.810384996,-5.585,16.04565
2.807368402,-5.095,16.0788
2.807368402,-5.32,16.112
2.81644562,-5.43,16.14505
2.819489763,-5.465,16.1779
2.819489763,-5.47,16.2107
2.777692634,-5.72,16.2442
2.777692634,-6,16.2784
2.774772924,-5.785,16.31265
2.766064596,-6.025,16.3471
2.763178591,-6.285,16.38175
2.763178591,-5.935,16.41645
2.72639934,-6.21,16.4518
2.72639934,-6.68,16.4878
2.723625413,-6.83,16.52385
2.740385582,-6.35,16.55965
2.740385582,-6.02,16.59515
2.740385582,-6.085,16.63065
2.723625413,-6.145,16.66645
2.723625413,-6.815,16.70255
2.723625413,-6.925,16.73865
2.715349504,-6.28,16.7749
2.715349504,-6.44,16.8113
2.718100537,-6.775,16.84765
2.685577345,-6.77,16.88455
2.685577345,-6.805,16.92205
2.685577345,-7.505,16.95955
2.636152462,-7.6,16.998
2.633617606,-7.245,17.03745
2.633617606,-7.295,17.07695
2.63108916,-6.985,17.1165
2.633617606,-7.825,17.15605
2.63108916,-8.1,17.1956
2.581818111,-7.79,17.2362
2.579417149,-8.16,17.27785
